colony,input_size,amount,number_nest,output_nest1,output_nest2,output_nest3,output_nest4,output_nest5,output_nest6,output_nest7,output_nest8,output_nest9,output_nest10
 Colony  1 ,1808,1759,4,1284,244,160,71,NA,NA,NA,NA,NA,NA
 Colony  2 ,1628,478,2,326,152,NA,NA,NA,NA,NA,NA,NA,NA
 Colony  3 ,1328,934,2,890,44,NA,NA,NA,NA,NA,NA,NA,NA
 Colony  4 ,1037,794,3,305,276,213,NA,NA,NA,NA,NA,NA,NA
 Colony  5 ,999,999,7,206,198,186,133,117,94,65,NA,NA,NA
 Colony  6 ,791,534,4,252,121,103,58,NA,NA,NA,NA,NA,NA
 Colony  7 ,789,297,2,160,137,NA,NA,NA,NA,NA,NA,NA,NA
 Colony  8 ,780,546,6,177,92,90,69,62,56,NA,NA,NA,NA
 Colony  9 ,720,223,3,127,49,47,NA,NA,NA,NA,NA,NA,NA
 Colony  10 ,577,284,3,138,77,69,NA,NA,NA,NA,NA,NA,NA
 Colony  11 ,549,549,4,181,151,115,102,NA,NA,NA,NA,NA,NA
 Colony  12 ,531,354,3,218,91,45,NA,NA,NA,NA,NA,NA,NA
 Colony  13 ,495,414,4,152,112,90,60,NA,NA,NA,NA,NA,NA
 Colony  14 ,452,452,3,197,167,88,NA,NA,NA,NA,NA,NA,NA
 Colony  15 ,294,294,3,153,79,62,NA,NA,NA,NA,NA,NA,NA
 Colony  16 ,291,206,2,158,48,NA,NA,NA,NA,NA,NA,NA,NA
 Colony  17 ,290,290,3,148,112,30,NA,NA,NA,NA,NA,NA,NA
 Colony  18 ,278,278,4,102,78,56,42,NA,NA,NA,NA,NA,NA
 Colony  19 ,252,180,1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
